name,position,team,games_played,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Tetairoa McMillan,WR,CAR,17.0,0.0,0.0,0.0,0.0,70.0,1014.0,7.0,0.0,0,0.0,,,,,,,,,,,
Tez Johnson,WR,TB,16.0,0.0,0.0,22.0,0.0,28.0,322.0,5.0,0.0,0,0.0,,,,,,,,,,,
Theo Wease Jr.,WR,MIA,3.0,0.0,0.0,0.0,0.0,6.0,139.0,1.0,0.0,0,0.0,,,,,,,,,,,
Tim Patrick,WR,NYJ,16.0,0.0,0.0,0.0,0.0,15.0,187.0,3.0,0.0,0,0.0,,,,,,,,,,,
Tommy Tremble,TE,CAR,17.0,0.0,0.0,0.0,0.0,27.0,249.0,2.0,0.0,0,0.0,,,,,,,,,,,
Tony Pollard,RB,TEN,17.0,0.0,0.0,1082.0,5.0,33.0,206.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tory Horton,WR,SEA,8.0,0.0,0.0,0.0,0.0,13.0,161.0,5.0,0.0,0,0.0,,,,,,,,,,,
Travis Etienne Jr.,RB,NO,17.0,0.0,0.0,1107.0,7.0,36.0,292.0,6.0,0.0,0,0.0,,,,,,,,,,,
Travis Hunter,WR,JAX,7.0,0.0,0.0,0.0,0.0,28.0,298.0,1.0,0.0,0,0.0,,,,,,,,,,,
Travis Kelce,TE,KC,17.0,0.0,0.0,1.0,0.0,76.0,851.0,5.0,0.0,0,1.0,,,,,,,,,,,
Trayveon Williams,RB,CLE,7.0,0.0,0.0,36.0,0.0,8.0,55.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tre Tucker,WR,LV,17.0,0.0,0.0,51.0,0.0,57.0,696.0,5.0,0.0,0,0.0,,,,,,,,,,,
Tre' Harris,WR,LAC,17.0,0.0,0.0,10.0,0.0,30.0,324.0,1.0,0.0,0,0.0,,,,,,,,,,,
TreVeyon Henderson,RB,NE,17.0,0.0,0.0,911.0,9.0,35.0,221.0,1.0,0.0,0,0.0,,,,,,,,,,,
Trevor Etienne,RB,CAR,17.0,0.0,0.0,94.0,,3.0,13.0,,,0,,,,,,,,,,,,
Trevor Lawrence,QB,JAX,17.0,4007.0,29.0,359.0,9.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,
Trey Benson,RB,ARI,4.0,0.0,0.0,160.0,,13.0,64.0,,,0,,,,,,,,,,,,
Trey Lance,QB,LAC,4.0,226.0,0.0,85.0,,0.0,0.0,,,0,,,,,,,,,,,,
Trey McBride,TE,ARI,17.0,0.0,0.0,0.0,0.0,126.0,1239.0,11.0,0.0,0,0.0,,,,,,,,,,,
Treylon Burks,WR,WSH,8.0,0.0,0.0,0.0,0.0,10.0,130.0,1.0,0.0,0,0.0,,,,,,,,,,,
Troy Franklin,WR,DEN,17.0,0.0,0.0,12.0,0.0,65.0,709.0,6.0,0.0,0,3.0,,,,,,,,,,,
Tua Tagovailoa,QB,ATL,14.0,2660.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tutu Atwell,WR,MIA,10.0,0.0,0.0,0.0,0.0,6.0,192.0,1.0,0.0,0,0.0,,,,,,,,,,,
Ty Chandler,RB,NO,3.0,0.0,0.0,47.0,,3.0,11.0,,,0,,,,,,,,,,,,
Ty Johnson,RB,BUF,17.0,0.0,0.0,200.0,3.0,24.0,263.0,2.0,0.0,0,0.0,,,,,,,,,,,
Tyjae Spears,RB,TEN,13.0,0.0,0.0,283.0,2.0,45.0,264.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tyler Allgeier,RB,ARI,17.0,0.0,0.0,514.0,8.0,14.0,96.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tyler Badie,RB,DEN,16.0,0.0,0.0,23.0,,19.0,141.0,,,0,,,,,,,,,,,,
Tyler Conklin,TE,DET,13.0,0.0,0.0,2.0,0.0,7.0,101.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tyler Goodson,RB,ATL,11.0,0.0,0.0,24.0,0.0,2.0,8.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tyler Higbee,TE,LAR,10.0,0.0,0.0,0.0,0.0,25.0,281.0,3.0,0.0,0,0.0,,,,,,,,,,,
Tyler Huntley,QB,BAL,5.0,426.0,2.0,151.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tyler Johnson,WR,DAL,12.0,0.0,0.0,0.0,0.0,12.0,197.0,1.0,0.0,0,0.0,,,,,,,,,,,
Tyler Lockett,WR,LV,17.0,0.0,0.0,0.0,0.0,32.0,291.0,1.0,0.0,0,0.0,,,,,,,,,,,
Tyler Loop,K,BAL,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,10.0,11.0,8.0,1.0,44.0,,,,,
Tyler Shough,QB,NO,11.0,2384.0,10.0,186.0,3.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,
Tyler Warren,TE,IND,17.0,0.0,0.0,8.0,1.0,76.0,817.0,4.0,0.0,0,0.0,,,,,,,,,,,
Tyreek Hill,WR,MIA,4.0,0.0,0.0,0.0,0.0,21.0,265.0,1.0,0.0,0,0.0,,,,,,,,,,,
Tyrell Shavers,WR,BUF,17.0,0.0,0.0,0.0,0.0,15.0,245.0,1.0,0.0,0,0.0,,,,,,,,,,,
Tyrod Taylor,QB,GB,6.0,779.0,5.0,143.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tyrone Tracy Jr.,RB,NYG,15.0,0.0,0.0,740.0,2.0,36.0,288.0,2.0,0.0,0,0.0,,,,,,,,,,,
Van Jefferson,WR,WSH,16.0,0.0,0.0,0.0,0.0,29.0,350.0,1.0,0.0,0,0.0,,,,,,,,,,,
Velus Jones Jr.,WR,SEA,8.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Wan'Dale Robinson,WR,TEN,16.0,0.0,0.0,5.0,0.0,92.0,1014.0,4.0,0.0,0,0.0,,,,,,,,,,,
Washington Commanders,DEF,WSH,,,,,,,,,,,,,,,,,,0,0,0,0,451.0
Wil Lutz,K,DEN,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,10.0,11.0,3.0,4.0,39.0,,,,,
Will Dissly,TE,LAC,9.0,0.0,0.0,0.0,0.0,11.0,97.0,0.0,0.0,0,0.0,,,,,,,,,,,
Will Reichard,K,MIN,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,6.0,9.0,7.0,11.0,31.0,,,,,
Will Shipley,RB,PHI,15.0,0.0,0.0,49.0,0.0,9.0,56.0,0.0,0.0,0,0.0,,,,,,,,,,,
Woody Marks,RB,HOU,16.0,0.0,0.0,703.0,2.0,24.0,208.0,3.0,0.0,0,0.0,,,,,,,,,,,
Xavier Hutchinson,WR,HOU,17.0,0.0,0.0,22.0,0.0,35.0,428.0,3.0,0.0,0,0.0,,,,,,,,,,,
Xavier Legette,WR,CAR,15.0,0.0,0.0,0.0,0.0,35.0,363.0,3.0,0.0,0,0.0,,,,,,,,,,,
Xavier Smith,WR,LAR,16.0,0.0,0.0,0.0,,18.0,303.0,,,0,,,,,,,,,,,,
Xavier Worthy,WR,KC,14.0,0.0,0.0,87.0,0.0,42.0,532.0,1.0,0.0,0,0.0,,,,,,,,,,,
Younghoe Koo,K,NYJ,6.0,,,,0.0,,,0.0,0.0,0,0.0,1.0,1.0,2.0,2.0,0.0,13.0,,,,,
Zach Charbonnet,RB,SEA,16.0,0.0,0.0,730.0,12.0,20.0,144.0,0.0,0.0,0,1.0,,,,,,,,,,,
Zamir White,RB,LV,6.0,0.0,0.0,32.0,0.0,4.0,24.0,0.0,0.0,0,0.0,,,,,,,,,,,
Zane Gonzalez,K,MIA,9.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,1.0,3.0,8.0,7.0,17.0,,,,,
Zavier Scott,RB,MIN,16.0,0.0,0.0,114.0,0.0,14.0,98.0,1.0,0.0,0,0.0,,,,,,,,,,,
Zay Flowers,WR,BAL,17.0,0.0,0.0,62.0,1.0,86.0,1211.0,5.0,0.0,0,0.0,,,,,,,,,,,
Zay Jones,WR,ARI,8.0,0.0,0.0,0.0,0.0,12.0,183.0,0.0,0.0,0,0.0,,,,,,,,,,,
