flock_list_no,name,position,team,age,games_played,snap_pct,fpts,pos_rank,overall_rank
302,Jonnu Smith,TE,,30.9,17,51.52,5.01,39,165
303,Jalen Tolbert,WR,MIA,27.4,13,51.69,3.56,116,241
300,Luke Musgrave,TE,GB,25.9,17,40.31,2.89,56,229
305,Kareem Hunt,RB,,30.9,17,47.87,8.55,40,85
306,Tanner Koziol,TE,JAX,22.0,,,,,
307,Sam Roush,TE,CHI,22.0,,,,,
308,Jalen Royals,WR,KC,23.4,7,,2.4,,
309,Zach Ertz,TE,,35.7,13,66.87,9.72,19,105
211,MarShawn Lloyd,RB,GB,25.5,,,,,
286,LeQuint Allen,RB,JAX,21.9,17,23.04,1.46,92,298
312,Erick All,TE,CIN,25.8,,,,,
313,Jerome Ford,RB,WAS,26.8,13,31.62,3.35,79,244
314,Joe Flacco,QB,CIN,41.5,13,77.26,11.28,37,27
315,Tyquan Thornton,WR,KC,25.9,14,38.68,5.77,82,172
316,Christian Kirk,WR,SF,29.6,13,48.05,4.45,101,212
317,Nick Chubb,RB,,30.5,15,32.17,5.89,58,159
214,Mike Gesicki,TE,CIN,30.8,13,38.88,5.44,38,187
319,Elijah Moore,WR,PHI,26.3,9,30.88,3.18,127,287
320,Eric McAlister,WR,,,,,,,
321,Marlin Klein,TE,HOU,23.8,,,,,
322,DeMario Douglas,WR,NE,25.6,17,27.3,5.64,86,142
323,Savion Williams,WR,GB,24.6,12,10.68,2.13,152,295
324,Zavion Thomas,WR,CHI,22.0,,,,,
325,Gabe Davis,WR,,27.3,6,59.15,5.15,93,278
281,Noah Gray,TE,KC,27.2,16,51.86,2.42,61,250
327,Audric Estime,RB,NO,22.8,7,29.77,6.87,51,236
328,Isaiah Bond,WR,CLE,22.3,,,,,
329,Jake Browning,QB,TB,30.2,5,71.04,9.75,42,45
330,Efton Chism,WR,NE,24.0,8,15.52,2.06,154,330
331,Roman Wilson,WR,PIT,25.1,13,33.59,2.97,133,251
253,Darnell Washington,TE,PIT,24.9,16,56.56,4.59,42,182
