name,position,team,games_played,pass_yds,pass_td,pass_att,pass_cmp,pass_int,rush_yds,rush_td,carries,rec,rec_yds,rec_td,targets,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,fg_60_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Xavier Smith,WR,LA,14,0,0,0,0,0,36,0,4,2,6,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Xavier Weaver,WR,ARI,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Xavier Worthy,WR,KC,16,0,0,0,0,0,104,3,20,59,638,6,98,0,0,0,0,0,0,0,0,0,0,,,,,
Younghoe Koo,K,ATL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,6,0,26,,,,,
Zach Charbonnet,RB,SEA,17,0,0,0,0,0,569,8,135,42,340,1,52,0,0,0,0,0,0,0,0,0,0,,,,,
Zach Davidson,TE,BUF,2,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Zach Ertz,TE,WAS,17,0,0,0,0,0,0,0,0,66,654,7,91,0,0,2,0,0,0,0,0,0,0,,,,,
Zach Pascal,WR,ARI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Zack Moss,RB,CIN,8,0,0,0,0,0,242,2,74,23,187,1,27,0,0,0,0,0,0,0,0,0,0,,,,,
Zamir White,RB,LV,8,0,0,0,0,0,183,1,65,6,30,0,8,0,0,0,0,0,0,0,0,0,0,,,,,
Zane Gonzalez,K,WAS,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,19,,,,,
Zay Flowers,WR,BAL,17,0,0,0,0,0,56,0,9,74,1059,4,116,0,0,0,0,0,0,0,0,0,0,,,,,
Zay Jones,WR,ARI,6,0,0,0,0,0,0,0,0,8,84,0,11,0,0,0,0,0,0,0,0,0,0,,,,,
