timestamp,date_raw,team,type,player_added_raw,player_added_resolved,player_added_nfl_team,player_added_pos,player_dropped_raw,player_dropped_resolved,player_dropped_nfl_team,player_dropped_pos,counterparty_team,raw_line
2025-09-24T19:09:00,"Sep 24, 7:09pm",Elite,waiver,,,,,Pittsburgh Steelers,Pittsburgh Steelers,PIT,DEF,,"Steelers Pit-DEF (To Free Agent) — Elite — Sep 24, 7:09pm"
2025-09-24T20:00:00,"Sep 24, 8:00pm",Greendawgs,waiver,Tre Tucker,Tre Tucker,LV,WR,Terry McLaurin,Terry McLaurin,WAS,WR,,"Tre Tucker LV-WR (Free Agent) / Terry McLaurin Was-WR (To Free Agent) — Greendawgs — Sep 24, 8:00pm"
2025-09-24T20:18:00,"Sep 24, 8:18pm",Just Bout Dat Action,waiver,Harrison Butker,Harrison Butker,KC,K,Evan McPherson,Evan McPherson,CIN,K,,"Harrison Butker KC-K (Free Agent) / Evan McPherson Cin-K (To Free Agent) — Just Bout Dat Action — Sep 24, 8:18pm"
2025-09-24T20:31:00,"Sep 24, 8:31pm",Hoofers,waiver,Jordan Addison,Jordan Addison,MIN,WR,Cooper Kupp,Cooper Kupp,SEA,WR,,"Jordan Addison Min-WR (Free Agent) / Cooper Kupp Sea-WR (To Free Agent) — Hoofers — Sep 24, 8:31pm"
2025-09-24T20:33:00,"Sep 24, 8:33pm",Hoofers,waiver,Chris Godwin Jr.,Chris Godwin Jr.,TB,WR,Ricky Pearsall,Ricky Pearsall,SF,WR,,"Chris Godwin Jr. TB-WR (Free Agent) / Ricky Pearsall SF-WR Q (To Free Agent) — Hoofers — Sep 24, 8:33pm"
2025-09-24T20:34:00,"Sep 24, 8:34pm",Hoofers,waiver,George Kittle,George Kittle,SF,TE,Tucker Kraft,Tucker Kraft,GB,TE,,"George Kittle SF-TE PUP-P (Free Agent) / Tucker Kraft GB-TE PUP-P (To Free Agent) — Hoofers — Sep 24, 8:34pm"
2025-09-24T21:52:00,"Sep 24, 9:52pm",Let's Ride,waiver,Khalil Shakir,Khalil Shakir,BUF,WR,Justin Fields,Justin Fields,KC,QB,,"Khalil Shakir Buf-WR (Free Agent) / Justin Fields KC-QB Q (To Free Agent) — Let's Ride — Sep 24, 9:52pm"
2025-09-24T21:56:00,"Sep 24, 9:56pm",Cardinals,waiver,D'Andre Swift,D'Andre Swift,CHI,RB,James Conner,James Conner,ARI,RB,,"D'Andre Swift Chi-RB (Free Agent) / James Conner Ari-RB Q (To Free Agent) — Cardinals — Sep 24, 9:56pm"
2025-09-24T21:57:00,"Sep 24, 9:57pm",Cardinals,waiver,Ricky Pearsall,Ricky Pearsall,SF,WR,Xavier Worthy,Xavier Worthy,KC,WR,,"Ricky Pearsall SF-WR Q (Free Agent) / Xavier Worthy KC-WR Q (To Free Agent) — Cardinals — Sep 24, 9:57pm"
2025-09-24T22:00:00,"Sep 24, 10:00pm",Cardinals,waiver,Ladd McConkey,Ladd McConkey,LAC,WR,DeVonta Smith,DeVonta Smith,PHI,WR,,"Ladd McConkey LAC-WR Q (Free Agent) / DeVonta Smith Phi-WR (To Free Agent) — Cardinals — Sep 24, 10:00pm"
2025-09-24T22:06:00,"Sep 24, 10:06pm",Sportos,waiver,Jake Ferguson,Jake Ferguson,DAL,TE,Zach Ertz,Zach Ertz,WAS,TE,,"Jake Ferguson Dal-TE (Free Agent) / Zach Ertz Was-TE NA (To Free Agent) — Sportos — Sep 24, 10:06pm"
2025-09-24T22:08:00,"Sep 24, 10:08pm",Sportos,waiver,Carolina Panthers,Carolina Panthers,CAR,DEF,Indianapolis Colts,Indianapolis Colts,IND,DEF,,"Panthers Car-DEF (Free Agent) / Colts Ind-DEF (To Free Agent) — Sportos — Sep 24, 10:08pm"
2025-09-24T22:12:00,"Sep 24, 10:12pm",Sportos,waiver,Brock Purdy,Brock Purdy,SF,QB,Isiah Pacheco,Isiah Pacheco,DET,RB,,"Brock Purdy SF-QB (Free Agent) / Isiah Pacheco Det-RB (To Free Agent) — Sportos — Sep 24, 10:12pm"
2025-09-24T22:17:00,"Sep 24, 10:17pm",Redskins,waiver,Xavier Worthy,Xavier Worthy,KC,WR,Stefon Diggs,Stefon Diggs,NE,WR,,"Xavier Worthy KC-WR Q (Free Agent) / Stefon Diggs NE-WR NA (To Free Agent) — Redskins — Sep 24, 10:17pm"
2025-10-01T16:58:00,"Oct 1, 4:58pm",Wildcard,waiver,Tyquan Thornton,Tyquan Thornton,KC,WR,Matthew Golden,Matthew Golden,GB,WR,,"Tyquan Thornton KC-WR Q (Free Agent) / Matthew Golden GB-WR (To Free Agent) — Wildcard — Oct 1, 4:58pm"
2025-10-01T16:59:00,"Oct 1, 4:59pm",Wildcard,waiver,Kenny Gainwell,Kenny Gainwell,TB,RB,Trey Benson,Trey Benson,ARI,RB,,"Kenny Gainwell TB-RB (Free Agent) / Trey Benson Ari-RB Q (To Free Agent) — Wildcard — Oct 1, 4:59pm"
2025-10-01T17:00:00,"Oct 1, 5:00pm",Wildcard,waiver,Justin Fields,Justin Fields,KC,QB,Geno Smith,Geno Smith,NYJ,QB,,"Justin Fields KC-QB Q (Free Agent) / Geno Smith NYJ-QB Q (To Free Agent) — Wildcard — Oct 1, 5:00pm"
2025-10-01T17:23:00,"Oct 1, 5:23pm",Just Bout Dat Action,waiver,Jason Myers,Jason Myers,SEA,K,Chad Ryland,Chad Ryland,ARI,K,,"Jason Myers Sea-K (Free Agent) / Chad Ryland Ari-K (To Free Agent) — Just Bout Dat Action — Oct 1, 5:23pm"
2025-10-01T17:26:00,"Oct 1, 5:26pm",Hoofers,waiver,Rachaad White,Rachaad White,WAS,RB,Nick Chubb,Nick Chubb,HOU,RB,,"Rachaad White Was-RB (Free Agent) / Nick Chubb Hou-RB NA (To Free Agent) — Hoofers — Oct 1, 5:26pm"
2025-10-01T17:27:00,"Oct 1, 5:27pm",Hoofers,waiver,Emari Demercado,Emari Demercado,KC,RB,Jaylen Warren,Jaylen Warren,PIT,RB,,"Emari Demercado KC-RB (Free Agent) / Jaylen Warren Pit-RB (To Free Agent) — Hoofers — Oct 1, 5:27pm"
2025-10-01T17:29:00,"Oct 1, 5:29pm",Hoofers,waiver,Arizona Cardinals,Arizona Cardinals,ARI,DEF,Green Bay Packers,Green Bay Packers,GB,DEF,,"Cardinals Ari-DEF (Free Agent) / Packers GB-DEF (To Free Agent) — Hoofers — Oct 1, 5:29pm"
2025-10-01T17:30:00,"Oct 1, 5:30pm",Hoofers,waiver,Nick Folk,Nick Folk,ATL,K,Brandon McManus,Brandon McManus,GB,K,,"Nick Folk Atl-K (Free Agent) / Brandon McManus GB-K NA (To Free Agent) — Hoofers — Oct 1, 5:30pm"
2025-10-01T18:36:00,"Oct 1, 6:36pm",ChronicMasterdeflatr,waiver,Chris Olave,Chris Olave,NO,WR,Tyreek Hill,Tyreek Hill,MIA,WR,,"Chris Olave NO-WR Q (Free Agent) / Tyreek Hill Mia-WR NA (To Free Agent) — ChronicMasterdeflatr — Oct 1, 6:36pm"
2025-10-01T18:37:00,"Oct 1, 6:37pm",ChronicMasterdeflatr,waiver,Matt Gay,Matt Gay,LV,K,Joey Slye,Joey Slye,TEN,K,,"Matt Gay LV-K (Free Agent) / Joey Slye Ten-K (To Free Agent) — ChronicMasterdeflatr — Oct 1, 6:37pm"
2025-10-01T18:40:00,"Oct 1, 6:40pm",ChronicMasterdeflatr,waiver,Hunter Henry,Hunter Henry,NE,TE,Juwan Johnson,Juwan Johnson,NO,TE,,"Hunter Henry NE-TE (Free Agent) / Juwan Johnson NO-TE (To Free Agent) — ChronicMasterdeflatr — Oct 1, 6:40pm"
2025-10-01T18:53:00,"Oct 1, 6:53pm",Let's Ride,waiver,DeVonta Smith,DeVonta Smith,PHI,WR,Jauan Jennings,Jauan Jennings,MIN,WR,,"DeVonta Smith Phi-WR (Free Agent) / Jauan Jennings Min-WR (To Free Agent) — Let's Ride — Oct 1, 6:53pm"
2025-10-01T18:54:00,"Oct 1, 6:54pm",Let's Ride,waiver,Indianapolis Colts,Indianapolis Colts,IND,DEF,Seattle Seahawks,Seattle Seahawks,SEA,DEF,,"Colts Ind-DEF (Free Agent) / Seahawks Sea-DEF (To Free Agent) — Let's Ride — Oct 1, 6:54pm"
2025-10-01T19:42:00,"Oct 1, 7:42pm",Sportos,waiver,Jaxson Dart,Jaxson Dart,NYG,QB,Brock Purdy,Brock Purdy,SF,QB,,"Jaxson Dart NYG-QB (Free Agent) / Brock Purdy SF-QB (To Free Agent) — Sportos — Oct 1, 7:42pm"
2025-10-01T19:44:00,"Oct 1, 7:44pm",Sportos,waiver,Philadelphia Eagles,Philadelphia Eagles,PHI,DEF,Carolina Panthers,Carolina Panthers,CAR,DEF,,"Eagles Phi-DEF (Free Agent) / Panthers Car-DEF (To Free Agent) — Sportos — Oct 1, 7:44pm"
2025-10-01T19:59:00,"Oct 1, 7:59pm",Greendawgs,waiver,Stefon Diggs,Stefon Diggs,NE,WR,Tre Tucker,Tre Tucker,LV,WR,,"Stefon Diggs NE-WR NA (Free Agent) / Tre Tucker LV-WR (To Free Agent) — Greendawgs — Oct 1, 7:59pm"
2025-10-01T19:59:00,"Oct 1, 7:59pm",Greendawgs,waiver,Wan'Dale Robinson,Wan'Dale Robinson,TEN,WR,Malik Nabers,Malik Nabers,NYG,WR,,"Wan'Dale Robinson Ten-WR Q (Free Agent) / Malik Nabers NYG-WR Q (To Free Agent) — Greendawgs — Oct 1, 7:59pm"
2025-10-01T20:01:00,"Oct 1, 8:01pm",Greendawgs,waiver,Los Angeles Rams,Los Angeles Rams,LA,DEF,Denver Broncos,Denver Broncos,DEN,DEF,,"Rams LAR-DEF (Free Agent) / Broncos Den-DEF (To Free Agent) — Greendawgs — Oct 1, 8:01pm"
2025-10-01T20:10:00,"Oct 1, 8:10pm",Greendawgs,waiver,Woody Marks,Woody Marks,HOU,RB,J.K. Dobbins,J.K. Dobbins,DEN,RB,,"Woody Marks Hou-RB (Free Agent) / J.K. Dobbins Den-RB Q (To Free Agent) — Greendawgs — Oct 1, 8:10pm"
2025-10-01T22:41:00,"Oct 1, 10:41pm",Elite,waiver,,,,,Tee Higgins,Tee Higgins,CIN,WR,,"Tee Higgins Cin-WR (To Free Agent) — Elite — Oct 1, 10:41pm"
2025-10-01T22:42:00,"Oct 1, 10:42pm",Elite,waiver,,,,,Aaron Rodgers,Aaron Rodgers,PIT,QB,,"Aaron Rodgers Pit-QB (To Free Agent) — Elite — Oct 1, 10:42pm"
2025-10-01T22:42:00,"Oct 1, 10:42pm",Elite,waiver,Carson Wentz,Carson Wentz,MIN,QB,,,,,,"Carson Wentz Min-QB Q — Elite — Oct 1, 10:42pm"
2025-10-01T22:43:00,"Oct 1, 10:43pm",Elite,waiver,,,,,Chris Boswell,Chris Boswell,PIT,K,,"Chris Boswell Pit-K (To Free Agent) — Elite — Oct 1, 10:43pm"
